Date,Close points,Open points,Maximum points,Minimum Points,Volume,Variation
27.07.2014,"57821,08","57821,08","57821,08","57821,08",-,"0,00%"
25.07.2014,"57821,08","57977,56","58069,2","57648,42","2,42M","-0,27%"
24.07.2014,"57977,56","57420,23","58122,03","57357,06","3,04M","0,97%"
23.07.2014,"57419,96","57982,73","57982,73","57141,89","2,74M","-0,97%"
22.07.2014,"57983,32","57635,77","58138,03","57500,09","3,01M","0,61%"
21.07.2014,"57633,92","57013,91","57756,1","56864,15","3,03M","1,09%"
20.07.2014,"57012,9","57012,9","57012,9","57012,9",-,"0,00%"
18.07.2014,"57012,9","55638,9","57483,8","55638,9","5,30M","2,47%"
17.07.2014,"55637,51","55711,6","56190,12","55237,04","3,98M","-0,14%"
16.07.2014,"55717,36","55973,47","56331,99","55573,09","4,09M","-0,46%"
15.07.2014,"55973,61","55742,19","56106,53","55629,07","3,22M","0,41%"
14.07.2014,"55743,98","54785,97",55896,"54785,97","4,17M","1,75%"
12.07.2014,"54785,93","54785,93","54785,93","54785,93",-,"0,00%"
11.07.2014,"54785,93","54592,75","54952,45","54319,78","3,38M","0,35%"
10.07.2014,"54592,75","53642,99","54599,5","53642,99","4,72M","1,79%"
09.07.2014,"53634,69","53634,69","53634,69","53634,69",-,"0,00%"
08.07.2014,"53634,69","53813,86","53905,12","53459,46","1,85M","-0,31%"
07.07.2014,"53801,83","54041,71","54041,71","53376,06","2,19M","-0,47%"
04.07.2014,"54055,9","53892,85","54086,56","53703,7","753,84K","0,34%"
03.07.2014,"53874,58","53028,78","53877,08","52759,6","3,30M","1,59%"
02.07.2014,"53028,78","53170,9","53244,84","52734,67","3,16M","-0,27%"
01.07.2014,"53171,49","53170,46","53697,76","52886,78","2,69M","0,01%"
30.06.2014,"53168,22","53158,48","53311,04","52709,38","2,45M","0,02%"
27.06.2014,"53157,3","53506,71","53614,4","52918,65","2,37M","-0,65%"
26.06.2014,"53506,75","53426,69","53790,15","53331,32","2,24M","0,15%"
25.06.2014,"53425,74","54280,78","54392,68","53362,56","2,95M","-1,58%"
24.06.2014,"54280,78","54194,33","55002,46","54093,89","3,12M","0,13%"
23.06.2014,"54210,05","54636,62","54724,33","54097,06","1,40M","-0,78%"
20.06.2014,"54638,19","55191,99","55191,99","54540,17","2,35M","-1,02%"
18.06.2014,"55202,54","54300,97","55202,54","54046,42","3,27M","1,66%"
17.06.2014,"54299,95","54629,83","54638,01","54150,11","1,59M","-0,60%"
16.06.2014,"54629,55","54806,64","54854,81","54474,66","2,64M","-0,32%"
13.06.2014,"54806,64","55102,23","55104,18","54648,67","2,66M","-0,54%"
11.06.2014,"55102,44","54676,49","55283,71","54676,49","3,80M","0,91%"
10.06.2014,"54604,34","54273,08","54604,34","53959,52","3,73M","0,61%"
